Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
"Oil, Gas & Consumable Fuels",BTU,Peabody Energy Corporation,"4,131 M",33.97,($0.64),$28.75,($0.43),-1.1603,.2625,1.6421,
"Oil, Gas & Consumable Fuels",BWLP,BW LPG Limited,"2,597 M",17.16,($0.42),$11.80,$1.14,11.568,4.7531,1.8696,
"Oil, Gas & Consumable Fuels",CAPL,CrossAmerica Partners LP,839 M,22.02,$0.98,($2.41),$1.19,-104.69,3.8912,-10.89,
"Oil, Gas & Consumable Fuels",CCJ,Cameco Corporation,"51,841 M",119.03,$1.80,$11.55,$0.98,8.8868,3.5913,1.4922,
"Oil, Gas & Consumable Fuels",CHRD,Chord Energy Corporation,"5,970 M",104.99,$15.05,$141.98,$2.96,2.0252,4.672,1.6222,
Energy Equipment & Services,CLB,Core Laboratories Inc.,867 M,18.63,$0.48,$5.99,$0.68,12.102,5.9447,2.1338,
"Oil, Gas & Consumable Fuels",CLMT,"Calumet, Inc.","2,550 M",29.39,($0.87),($8.01),($0.43),8.4902,4.552,-3.932,
"Oil, Gas & Consumable Fuels",CLNE,Clean Energy Fuels Corp.,577 M,2.63,$0.14,$2.67,($0.94),-31.724,-1.7913,1.9226,
"Oil, Gas & Consumable Fuels",CMBT,Cmb.Tech NV,"3,964 M",13.66,($4.42),$8.78,$0.80,7.848,2.8626,3.2834,
"Oil, Gas & Consumable Fuels",CNQ,Canadian Natural Resources Limited,"88,532 M",42.50,$2.79,$13.95,$2.27,16.563,6.9015,2.1154,
"Oil, Gas & Consumable Fuels",CNR,"Core Natural Resources, Inc.","4,589 M",89.98,$0.41,$71.72,($2.98),-5.8407,-2.8828,1.6666,
"Oil, Gas & Consumable Fuels",CNX,CNX Resources Corporation,"5,790 M",40.67,$3.77,$30.42,$3.98,15.013,6.3092,2.0969,
"Oil, Gas & Consumable Fuels",COP,ConocoPhillips,"136,716 M",111.59,$5.78,$52.64,$6.35,12.357,6.2822,1.8909,
"Oil, Gas & Consumable Fuels",CQP,"Cheniere Energy Partners, L.P.","28,714 M",59.32,$5.23,$4.74,$3.84,-477,11.138,7.3319,
"Oil, Gas & Consumable Fuels",CRC,California Resources Corporation,"5,305 M",59.40,$6.17,$41.13,$4.29,11.06,5.7821,1.9608,
"Oil, Gas & Consumable Fuels",CRGY,Crescent Energy Company,"3,497 M",10.65,($1.51),$17.56,$0.10,-.2721,2.0976,2.1684,
"Oil, Gas & Consumable Fuels",CRK,"Comstock Resources, Inc.","5,817 M",19.85,($1.11),$9.09,$1.36,15.867,6.0296,2.6474,
"Oil, Gas & Consumable Fuels",CTRA,Coterra Energy Inc.,"24,057 M",31.71,$1.92,$19.26,$2.17,11.855,6.2793,1.6311,
"Oil, Gas & Consumable Fuels",CVE,Cenovus Energy Inc.,"43,632 M",23.13,$1.11,$11.52,$1.23,10.836,4.7989,1.8957,
"Oil, Gas & Consumable Fuels",CVI,"CVR Energy, Inc.","2,170 M",21.59,($1.45),$8.36,$1.65,25.936,4.7808,4.7524,
"Oil, Gas & Consumable Fuels",CVX,Chevron Corporation,"365,864 M",184.78,$8.98,$94.95,$6.63,7.1597,4.0466,1.7199,
"Oil, Gas & Consumable Fuels",DEC,Diversified Energy Company,"1,064 M",13.87,$2.83,$9.21,($2.35),-21.422,.406,7.907,
"Oil, Gas & Consumable Fuels",DHT,"DHT Holdings, Inc.","2,716 M",16.89,($0.21),$7.05,$1.31,19.39,9.0628,1.4146,
"Oil, Gas & Consumable Fuels",DINO,HF Sinclair Corporation,"9,286 M",50.48,$3.60,$51.26,$2.07,4.1846,2.6096,1.8308,
"Oil, Gas & Consumable Fuels",DK,"Delek US Holdings, Inc.","2,055 M",34.22,($12.04),$3.02,($8.80),-69.371,.6528,39.143,
"Oil, Gas & Consumable Fuels",DKL,"Delek Logistics Partners, LP","2,875 M",53.76,($0.93),$0.33,$3.09,-1190.3,4.8058,157.24,
"Oil, Gas & Consumable Fuels",DMLP,"Dorchester Minerals, L.P.","1,250 M",25.91,$2.73,$6.79,$1.13,15.389,9.4386,1.0079,
"Oil, Gas & Consumable Fuels",DNN,Denison Mines Corp.,"3,670 M",4.09,($0.07),$0.32,($0.16),-39.583,-5.4934,2.748,
"Oil, Gas & Consumable Fuels",DTM,"DT Midstream, Inc.","13,455 M",132.33,$4.68,$46.25,$3.96,9.0434,3.8274,2.1397,
"Oil, Gas & Consumable Fuels",DVN,Devon Energy Corporation,"27,701 M",44.66,$4.43,$25.00,$4.17,17.736,7.7148,2.035,
"Oil, Gas & Consumable Fuels",E,Eni S.p.A.,"64,560 M",43.85,$1.51,$19.20,$0.96,5.4657,1.9569,2.7412,
"Oil, Gas & Consumable Fuels",EC,Ecopetrol S.A.,"25,862 M",12.58,$0.08,$0.50,$0.07,14.613,6.4595,3.6161,
"Oil, Gas & Consumable Fuels",ECO,Okeanis Eco Tankers Corp.,"1,827 M",46.78,$3.40,$13.35,$2.38,18.226,6.9738,2.4827,
"Oil, Gas & Consumable Fuels",EE,"Excelerate Energy, Inc.","1,342 M",41.93,$7.58,$21.11,$1.42,8.5335,4.6064,6.0634,
Energy Equipment & Services,EFXT,Enerflex Ltd.,"2,367 M",19.43,$1.34,$9.46,$1.10,12.297,6.1613,2.4719,
"Oil, Gas & Consumable Fuels",EGY,"VAALCO Energy, Inc.",536 M,5.14,($0.82),$4.85,$0.27,5.7353,5.4049,1.8788,
"Oil, Gas & Consumable Fuels",ENB,Enbridge Inc.,"112,561 M",51.59,$0.90,$18.54,$2.35,11.555,3.3778,3.9354,
"Oil, Gas & Consumable Fuels",EOG,"EOG Resources, Inc.","67,212 M",123.87,$7.10,$55.69,$10.05,18.477,9.0861,1.7236,
"Oil, Gas & Consumable Fuels",EPD,Enterprise Products Partners L.P.,"78,269 M",36.18,$1.43,$13.50,$2.66,19.672,5.6153,2.6643,
"Oil, Gas & Consumable Fuels",EQNR,Equinor ASA,"72,018 M",28.85,$2.31,$16.11,$1.94,12.206,12.934,3.2586,
"Oil, Gas & Consumable Fuels",EQT,EQT Corporation,"37,301 M",59.77,$4.64,$38.06,$3.31,9.0074,5.007,1.7595,
"Oil, Gas & Consumable Fuels",ET,Energy Transfer LP,"64,891 M",18.90,$1.38,$9.02,$1.21,11.93,4.365,4.5559,
"Oil, Gas & Consumable Fuels",EU,enCore Energy Corp.,491 M,2.62,($0.37),$1.33,($0.28),-17.896,-9.9472,1.7778,
"Oil, Gas & Consumable Fuels",EXE,Expand Energy Corporation,"24,734 M",103.85,$6.93,$77.65,$7.57,10.066,5.5913,1.5226,
"Oil, Gas & Consumable Fuels",FANG,"Diamondback Energy, Inc.","49,712 M",174.72,($3.76),$136.25,$14.37,10.901,5.1009,1.9498,
Energy Equipment & Services,FET,"Forum Energy Technologies, Inc.",603 M,53.03,$6.54,$25.81,($9.47),-31.108,1.058,2.5902,
"Oil, Gas & Consumable Fuels",FLNG,FLEX LNG Ltd.,"1,464 M",27.06,$2.60,$13.30,$1.38,9.806,4.1519,3.648,
Energy Equipment & Services,FLOC,Flowco Holdings Inc.,689 M,23.24,$2.93,$13.13,$1.37,9.9219,5.412,4.5456,
"Oil, Gas & Consumable Fuels",FRO,Frontline plc,"7,529 M",33.82,$2.50,$10.45,$0.98,9.3247,4.4486,2.4554,
"Oil, Gas & Consumable Fuels",GASS,StealthGas Inc.,304 M,8.18,$2.02,$18.79,$1.66,9.6494,5.1996,1.0318,
"Oil, Gas & Consumable Fuels",GBNXF,Gibson Energy Inc.,"3,408 M",20.796,$1.49,$3.68,$0.87,22.044,4.8229,5.6396,
"Oil, Gas & Consumable Fuels",GEL,"Genesis Energy, L.P.","2,161 M",17.65,($1.20),($2.57),($0.73),2.7434,2.7124,-15.463,
"Oil, Gas & Consumable Fuels",GEVO,"Gevo, Inc.",458 M,1.89,($0.38),$1.99,($0.20),-9.0302,-2.7268,1.4614,
"Oil, Gas & Consumable Fuels",GFR,Greenfire Resources Ltd.,770 M,6.14,$0.96,$9.00,$1.37,16.611,4.9588,1.4825,
"Oil, Gas & Consumable Fuels",GLNG,Golar LNG Limited,"4,659 M",45.50,($4.20),$18.53,$0.55,4.2396,1.1585,2.4648,
"Oil, Gas & Consumable Fuels",GLP,Global Partners LP,"1,640 M",48.49,$4.47,$17.94,$2.08,13.768,3.9784,6.0988,
"Oil, Gas & Consumable Fuels",GPOR,Gulfport Energy Corporation,"3,893 M",201.56,$17.00,$94.14,($0.52),1.1261,9.1913,1.6001,
"Oil, Gas & Consumable Fuels",GPRE,Green Plains Inc.,948 M,13.57,$1.09,$10.97,($1.80),-14.698,-2.2112,2.0599,
"Oil, Gas & Consumable Fuels",GPRK,GeoPark Limited,443 M,8.57,$0.97,$4.04,$0.65,16.853,9.8527,4.8269,
"Oil, Gas & Consumable Fuels",GRNT,"Granite Ridge Resources, Inc.",690 M,5.26,($0.70),$4.91,$0.29,5.7945,6.7321,1.7527,
"Oil, Gas & Consumable Fuels",HAFN,Hafnia Limited,"3,561 M",7.15,$1.03,$4.68,$0.61,13.036,5.6698,1.5318,
Energy Equipment & Services,HAL,Halliburton Company,"29,624 M",35.37,$1.96,$12.53,$1.50,12.274,7.3744,2.3908,
"Oil, Gas & Consumable Fuels",HESM,Hess Midstream LP,"4,855 M",37.52,$6.11,$4.43,$2.86,153.53,14.554,7.7514,
Energy Equipment & Services,HLX,"Helix Energy Solutions Group, Inc.","1,338 M",9.10,$0.52,$10.71,$0.28,2.7136,1.9879,1.6712,
Energy Equipment & Services,HP,"Helmerich & Payne, Inc.","3,656 M",35.96,$1.81,$26.07,($3.18),-10.963,1.8828,2.4814,
"Oil, Gas & Consumable Fuels",HPK,"HighPeak Energy, Inc.",700 M,5.57,$0.02,$12.95,$0.38,3.2892,4.8401,1.9703,
"Oil, Gas & Consumable Fuels",IMO,Imperial Oil Limited,"59,265 M",122.55,$6.82,$34.73,$4.72,13.86,8.6572,1.814,
"Oil, Gas & Consumable Fuels",INR,"Infinity Natural Resources, Inc.",262 M,16.77,($7.92),$18.47,($0.16),-3.1064,7.3327,3.8547,
"Oil, Gas & Consumable Fuels",INSW,"International Seaways, Inc.","3,311 M",67.03,$1.54,$39.17,$4.39,11.426,5.2587,1.4426,
Energy Equipment & Services,INVX,"Innovex International, Inc.","1,754 M",25.44,$1.86,$15.07,$1.32,10.407,6.1109,1.2069,
"Oil, Gas & Consumable Fuels",ISOU,IsoEnergy Ltd.,673 M,11.14,($0.50),$5.41,($0.55),-8.606,-2.5767,1.0446,
Energy Equipment & Services,KGS,"Kodiak Gas Services, Inc.","4,289 M",50.00,$2.14,$14.41,$0.84,5.7656,6.0395,3.4987,
"Oil, Gas & Consumable Fuels",KMI,"Kinder Morgan, Inc.","72,395 M",32.54,$1.01,$14.01,$1.37,9.8264,4.0962,2.3345,
"Oil, Gas & Consumable Fuels",KNOP,KNOT Offshore Partners LP,364 M,10.41,$4.20,$15.72,$1.17,8.6364,3.8854,3.1496,
"Oil, Gas & Consumable Fuels",KNTK,Kinetik Holdings Inc.,"2,863 M",44.71,$2.24,($27.70),$0.42,4.4113,1.3532,-4.0559,
"Oil, Gas & Consumable Fuels",KOS,Kosmos Energy Ltd.,847 M,1.77,($0.28),$1.88,($0.69),-31.419,-1.4737,5.6629,
"Oil, Gas & Consumable Fuels",KRP,"Kimbell Royalty Partners, LP","1,330 M",14.24,$0.06,$5.80,($0.01),4.1203,5.9603,2.3143,
Energy Equipment & Services,LBRT,Liberty Energy Inc.,"4,358 M",26.89,$0.09,$12.83,$0.89,7.2883,1.8315,1.7116,
"Oil, Gas & Consumable Fuels",LEU,Centrus Energy Corp.,"4,108 M",208.88,$1.74,$38.91,$3.90,16.794,1.5327,3.1968,
"Oil, Gas & Consumable Fuels",LNG,"Cheniere Energy, Inc.","48,684 M",226.19,$9.99,$31.07,$17.92,49.438,10.017,6.6828,
"Oil, Gas & Consumable Fuels",LPG,Dorian LPG Ltd.,"1,503 M",35.16,$3.18,$25.40,$2.83,11.211,4.8967,1.6375,
"Oil, Gas & Consumable Fuels",LTBR,Lightbridge Corporation,434 M,13.42,($0.57),$5.43,($0.78),-18.145,-12.791,1.0102,
"Oil, Gas & Consumable Fuels",MGY,Magnolia Oil & Gas Corporation,"4,898 M",27.08,$2.20,$10.70,$1.73,17.006,9.5909,1.4965,
"Oil, Gas & Consumable Fuels",MNR,Mach Natural Resources LP,"2,285 M",13.57,($3.72),$11.68,$0.92,6.6751,4.1466,1.9211,
"Oil, Gas & Consumable Fuels",MPC,Marathon Petroleum Corporation,"57,959 M",196.47,$13.79,$56.80,$13.22,24.292,3.8663,4.8687,
"Oil, Gas & Consumable Fuels",MPLX,MPLX LP,"58,139 M",57.28,$4.59,$14.05,$4.82,34.709,7.074,3.0237,
"Oil, Gas & Consumable Fuels",MTDR,Matador Resources Company,"6,471 M",52.07,$3.32,$44.27,$6.24,16.128,7.543,2.1153,
"Oil, Gas & Consumable Fuels",MUR,Murphy Oil Corporation,"4,862 M",34.06,$1.38,$35.84,$0.72,2.6149,2.5204,1.921,
"Oil, Gas & Consumable Fuels",NAT,Nordic American Tankers Limited,"1,023 M",4.83,($0.51),$2.18,$0.01,.3924,1.2251,2.0102,
"Oil, Gas & Consumable Fuels",NATKY,National Atomic Company Kazatomprom JSC,"19,823 M",76.43,$3.32,<empty>,$4.81,32.106,15.3,1.8159,
Energy Equipment & Services,NBR,Nabors Industries Ltd.,"1,116 M",76.61,($1.72),$40.62,$17.39,28.323,3.543,8.1081,
"Oil, Gas & Consumable Fuels",NC,"NACCO Industries, Inc.",418 M,55.99,$0.76,$57.16,$3.88,7.0359,-4.6092,1.4954,
Energy Equipment & Services,NESR,National Energy Services Reunited Corp.,"2,439 M",24.20,$1.41,$8.92,$0.48,1.5494,2.782,2.1017,
"Oil, Gas & Consumable Fuels",NEXT,NextDecade Corporation,"1,478 M",5.58,($14.22),$0.58,($0.74),-1.2688,-1.8537,64.788,
"Oil, Gas & Consumable Fuels",NFE,New Fortress Energy Inc.,381 M,1.34,($6.39),$3.50,($4.86),-87.326,.388,11.961,
"Oil, Gas & Consumable Fuels",NGL,NGL Energy Partners LP,"1,473 M",11.90,$0.55,($1.57),($0.26),19.085,5.5916,-22.514,
Energy Equipment & Services,NGS,"Natural Gas Services Group, Inc.",472 M,37.55,($3.44),$21.62,$1.47,7.1529,4.6448,2.0717,
Energy Equipment & Services,NOA,North American Construction Group Ltd.,484 M,16.66,($0.19),$11.85,$0.90,8.6421,3.8465,3.9735,
"Oil, Gas & Consumable Fuels",NOG,"Northern Oil and Gas, Inc.","2,719 M",27.86,($1.44),$23.10,$1.82,7.9506,10.512,2.448,
Energy Equipment & Services,NOV,NOV Inc.,"7,295 M",20.24,$2.35,$17.37,$0.39,2.3686,3.7358,1.8014,
"Oil, Gas & Consumable Fuels",NRP,Natural Resource Partners L.P.,"1,619 M",123.21,$14.29,$45.69,$10.92,26.256,12.221,1.2552,
"Oil, Gas & Consumable Fuels",NTOIY,Neste Oyj,"19,314 M",12.57,$1.26,$11.18,$0.22,1.955,1.9869,2.1533,
"Oil, Gas & Consumable Fuels",NUAI,"New Era Energy & Digital, Inc.",260 M,4.84,($0.51),$0.24,($1.01),-448.87,-64.652,1.8104,
"Oil, Gas & Consumable Fuels",NXE,NexGen Energy Ltd.,"8,077 M",12.34,($0.24),$1.15,($0.42),-31.237,-2.9849,1.7046,
"Oil, Gas & Consumable Fuels",OBE,Obsidian Energy Ltd.,510 M,7.60,($0.05),$15.02,($2.40),-15.282,-8.2944,1.2853,
Energy Equipment & Services,OII,"Oceaneering International, Inc.","3,610 M",36.18,$1.11,$9.10,$2.29,28.707,8.0949,2.7976,
Energy Equipment & Services,OIS,"Oil States International, Inc.",597 M,10.00,$0.52,$11.53,$0.38,3.3532,1.0858,1.4693,
"Oil, Gas & Consumable Fuels",OKE,"ONEOK, Inc.","54,668 M",86.88,$4.76,$35.06,$5.43,17.847,6.2751,3.0169,
"Oil, Gas & Consumable Fuels",OVV,Ovintiv Inc.,"14,357 M",50.67,($3.09),$40.40,$0.90,2.2595,6.561,1.8945,
"Oil, Gas & Consumable Fuels",OXY,Occidental Petroleum Corporation,"50,768 M",51.53,$3.36,$28.39,$1.39,5.9553,3.2993,2.9839,
"Oil, Gas & Consumable Fuels",PAA,"Plains All American Pipeline, L.P.","14,604 M",20.70,$4.17,$13.93,$1.12,10.59,3.0406,3.0672,
"Oil, Gas & Consumable Fuels",PAGP,"Plains GP Holdings, L.P.","4,369 M",22.08,$10.54,$6.79,($0.62),9.115,2.9094,23.254,
"Oil, Gas & Consumable Fuels",PARR,"Par Pacific Holdings, Inc.","2,128 M",42.31,$3.20,$27.78,$4.51,17.81,5.8897,2.9201,
"Oil, Gas & Consumable Fuels",PBA,Pembina Pipeline Corporation,"25,241 M",43.45,$2.96,$18.61,$2.01,10.446,4.846,2.3559,
"Oil, Gas & Consumable Fuels",PBF,PBF Energy Inc.,"3,964 M",33.90,($6.87),$45.49,($1.39),-2.8844,-4.4269,2.4476,
"Oil, Gas & Consumable Fuels",PBR,PetrÃ³leo Brasileiro S.A. - Petrobras,"101,563 M",15.76,$1.37,$6.17,$1.13,19.022,7.9186,2.8658,
Energy Equipment & Services,PDS,Precision Drilling Corporation,"1,157 M",89.49,$8.16,$89.24,$0.10,.1891,3.7768,1.7213,
"Oil, Gas & Consumable Fuels",PEYUF,Peyto Exploration & Development Corp.,"3,943 M",19.53,$1.28,$9.85,$1.32,13.48,6.4514,1.9622,
"Oil, Gas & Consumable Fuels",PNRG,PrimeEnergy Resources Corporation,298 M,182.53,$11.70,$130.16,$10.31,12.069,6.1073,1.5531,
"Oil, Gas & Consumable Fuels",PR,Permian Resources Corporation,"13,319 M",17.88,$1.00,$13.47,$1.12,8.9893,6.6951,1.728,
"Oil, Gas & Consumable Fuels",PSX,Phillips 66,"62,618 M",155.41,$6.72,$66.80,$10.79,16.017,2.4563,2.8278,
Energy Equipment & Services,PTEN,"Patterson-UTI Energy, Inc.","3,226 M",8.50,$0.97,$8.49,($0.24),-2.7774,-.4364,1.7307,
Energy Equipment & Services,PUMP,ProPetro Holding Corp.,"1,402 M",11.50,$0.37,$7.95,($0.16),-2.0468,1.2609,1.5488,
"Oil, Gas & Consumable Fuels",REI,"Ring Energy, Inc.",286 M,1.38,($0.14),$4.09,($0.08),-1.9103,4.2015,1.6925,
"Oil, Gas & Consumable Fuels",REPX,"Riley Exploration Permian, Inc.",626 M,28.50,$4.81,$25.74,$4.07,16.085,8.697,2.103,
Energy Equipment & Services,RES,"RPC, Inc.","1,348 M",6.11,$0.24,$5.18,$0.15,2.9465,2.4892,1.3359,
"Oil, Gas & Consumable Fuels",REX,REX American Resources Corporation,"1,124 M",34.12,$0.52,$17.21,$1.48,9.4522,4.7617,1.323,
Energy Equipment & Services,RNGR,"Ranger Energy Services, Inc.",397 M,16.84,$2.39,$12.49,$0.66,5.5431,3.415,1.3807,
"Oil, Gas & Consumable Fuels",RRC,Range Resources Corporation,"9,274 M",39.14,$2.07,$17.74,$2.38,14.217,7.0263,1.7123,
"Oil, Gas & Consumable Fuels",SBR,Sabine Royalty Trust,"1,037 M",71.10,<empty>,$0.52,$5.44,986.82,585.73,1.0999,
"Oil, Gas & Consumable Fuels",SD,"SandRidge Energy, Inc.",646 M,17.56,$0.76,$13.41,$1.79,14.085,6.2118,1.2569,
Energy Equipment & Services,SDRL,Seadrill Limited,"2,789 M",44.71,($1.71),$45.93,$0.55,1.1768,.517,1.4196,
Energy Equipment & Services,SEI,"Solaris Energy Infrastructure, Inc.","2,439 M",49.98,($10.64),$11.23,$0.91,11.227,5.9999,2.8672,
"Oil, Gas & Consumable Fuels",SHEL,Shell plc,"226,864 M",80.38,$4.06,$30.38,$3.00,10.194,5.065,2.1237,
"Oil, Gas & Consumable Fuels",SJT,San Juan Basin Royalty Trust,261 M,5.61,<empty>,$0.05,($0.01),-10.79,-18.211,1.1262,
Energy Equipment & Services,SLB,SLB N.V.,"77,069 M",51.54,$2.90,$17.46,$2.35,13.904,6.7724,2.1015,
"Oil, Gas & Consumable Fuels",SM,SM Energy Company,"5,594 M",23.48,($13.64),$41.14,$6.33,16.577,8.0667,1.9286,
"Oil, Gas & Consumable Fuels",SMC,Summit Midstream Corporation,365 M,29.79,$0.49,$36.00,($3.65),-2.046,2.2375,5.4681,
"Oil, Gas & Consumable Fuels",SOBO,South Bow Corporation,"6,387 M",30.67,$1.65,$12.60,$1.59,12.186,2.9268,4.3685,
"Oil, Gas & Consumable Fuels",SOC,Sable Offshore Corp.,"1,295 M",8.93,($7.41),$3.50,($4.04),-141.26,-14.173,4.7392,
"Oil, Gas & Consumable Fuels",STHRF,Strathcona Resources Ltd.,"4,706 M",21.966,$0.77,$22.26,$2.02,9.6692,5.858,1.6646,
"Oil, Gas & Consumable Fuels",STNG,Scorpio Tankers Inc.,"3,750 M",72.44,$10.55,$67.91,$7.03,11.354,4.9941,1.2247,
"Oil, Gas & Consumable Fuels",SU,Suncor Energy Inc.,"67,589 M",56.80,$4.14,$27.55,$3.53,13.204,5.6219,1.9926,
"Oil, Gas & Consumable Fuels",SUN,Sunoco LP,"11,675 M",62.06,$2.74,$47.58,$2.28,8.7273,2.7172,4.362,
"Oil, Gas & Consumable Fuels",TALO,Talos Energy Inc.,"2,327 M",13.69,$3.20,$14.00,($2.01),-13.703,.3275,2.3943,
"Oil, Gas & Consumable Fuels",TBN,Tamboran Resources Corporation,679 M,30.00,($0.05),$0.08,($0.01),-8.4981,-3.7877,1.6735,
Energy Equipment & Services,TDW,Tidewater Inc.,"3,660 M",73.85,$5.76,$23.06,$2.97,13.372,8.6488,1.863,
"Oil, Gas & Consumable Fuels",TEN,Tsakos Energy Navigation Limited,914 M,30.35,$2.24,$56.99,$4.95,10.861,5.0313,2.0832,
"Oil, Gas & Consumable Fuels",TGS,Transportadora de Gas del Sur S.A.,"4,581 M",30.43,$0.25,$2.68,$0.34,14.882,9.3111,1.4741,
"Oil, Gas & Consumable Fuels",TK,Teekay Corporation Ltd.,"1,039 M",12.18,$2.04,$7.70,$0.88,14.178,4.9439,3.434,
"Oil, Gas & Consumable Fuels",TNK,Teekay Tankers Ltd.,"2,552 M",73.89,$2.61,$55.92,$9.01,17.02,5.3599,1.0942,
"Oil, Gas & Consumable Fuels",TOIPY,Thai Oil Public Company Limited,"3,646 M",16.32,$0.54,$2.45,$0.21,8.1501,1.5192,2.4849,
Energy Equipment & Services,TOTZF,Total Energy Services Inc.,468 M,12.71,$1.41,$11.52,$1.15,10.512,5.2806,1.7099,
"Oil, Gas & Consumable Fuels",TPL,Texas Pacific Land Corporation,"33,543 M",486.56,$3.42,$19.84,$6.90,39.37,27.351,1.1147,
"Oil, Gas & Consumable Fuels",TRGP,Targa Resources Corp.,"48,118 M",224.16,$2.96,$12.60,$7.42,49.85,8.4483,8.9311,
"Oil, Gas & Consumable Fuels",TRMD,TORM plc,"2,753 M",27.17,$2.52,$21.97,$2.76,13.189,5.985,1.4854,
"Oil, Gas & Consumable Fuels",TRP,TC Energy Corporation,"65,063 M",62.51,$1.36,$17.53,$2.53,11.443,3.5665,4.7425,
Energy Equipment & Services,TS,Tenaris S.A.,"27,079 M",53.64,$1.52,$16.39,$1.86,11.715,6.634,1.201,
"Oil, Gas & Consumable Fuels",TTE,TotalEnergies SE,"166,718 M",77.83,$4.62,$53.61,$5.78,11.235,4.3782,2.5335,
Energy Equipment & Services,TTI,"TETRA Technologies, Inc.","1,503 M",11.24,$0.05,$2.22,$0.91,54.005,6.6477,2.2083,
"Oil, Gas & Consumable Fuels",TXO,"TXO Partners, L.P.",691 M,12.61,($4.20),$13.44,$0.36,2.4824,.1028,1.8692,
"Oil, Gas & Consumable Fuels",UEC,Uranium Energy Corp.,"7,787 M",16.11,($0.21),$2.72,($0.18),-7.2865,-4.7932,1.0884,
"Oil, Gas & Consumable Fuels",URG,Ur-Energy Inc.,606 M,1.61,($0.22),$0.24,($0.22),-65.174,-25.161,1.8853,
"Oil, Gas & Consumable Fuels",UROY,Uranium Royalty Corp.,589 M,4.26,$0.15,$1.70,$0.00,.1672,-.4489,1.0035,
Energy Equipment & Services,USAC,"USA Compression Partners, LP","3,300 M",26.90,$2.31,($1.22),$0.85,-453.86,7.4351,-17.703,
"Oil, Gas & Consumable Fuels",UUUU,Energy Fuels Inc.,"5,291 M",21.97,($0.67),$2.97,($0.46),-18.105,-11.005,1.0783,
Energy Equipment & Services,VAL,Valaris Limited,"6,403 M",92.49,$3.52,$35.12,$5.61,17.178,7.6311,1.8948,
"Oil, Gas & Consumable Fuels",VET,Vermilion Energy Inc.,"1,617 M",10.54,($3.32),$12.69,$0.49,3.7309,4.0545,2.1983,
"Oil, Gas & Consumable Fuels",VG,"Venture Global, Inc.","24,212 M",9.89,($3.44),$2.33,$0.79,28.546,5.6311,8.7981,
"Oil, Gas & Consumable Fuels",VIST,"Vista Energy, S.A.B. de C.V.","6,156 M",59.02,($7.01),$23.09,$6.75,37.024,9.055,2.7991,
