Watchlist Scanner

Results
Industry,Symbol,Company Name,Market Cap,Last,Free Cash Flow Per Share - Current (LTM),Book Value Per Share - Current (LTM),Earnings Per Share - TTM - Current (LTM),Return on Equity (ROE) - Current (LTM),Return on Assets (ROA) - Current (LTM),Financial Leverage (Assets/Equity) - Current (LTM),3
Capital Markets,APAM,Artisan Partners Asset Management Inc.,"2,947 M",41.83,$4.36,$6.78,$4.05,49.311,15.629,3.2991,
Financial Services,APO,"Apollo Global Management, Inc.","68,517 M",118.34,$4.22,$37.90,$5.54,14.698,1.2877,21.007,
Capital Markets,ARCC,Ares Capital Corporation,"13,607 M",18.95,($2.46),$19.94,$1.86,9.3882,4.7298,2.1815,
Capital Markets,ARES,Ares Management Corporation,"28,611 M",129.85,$21.12,$13.68,$1.71,13.579,2.6801,8.971,
Mortgage Real Estate Investment Trusts (REITs),ARI,"Apollo Commercial Real Estate Finance, Inc.","1,471 M",10.54,$0.94,$13.36,$0.81,6.7935,1.3839,5.3345,
Banks,AROW,Arrow Financial Corporation,571 M,34.75,$2.14,$26.26,$2.65,10.556,1.0043,10.295,
Mortgage Real Estate Investment Trusts (REITs),ARR,"ARMOUR Residential REIT, Inc.","1,976 M",17.66,$2.07,$19.02,$0.65,3.7463,.394,9.0931,
Insurance,ARX,Accelerant Holdings,"2,329 M",10.50,$47.78,$3.05,($114.41),-280.06,.5219,11.625,
Banks,ASB,Associated Banc-Corp,"4,704 M",28.34,$3.44,$29.22,$2.77,9.9108,1.0762,9.4542,
Insurance,ASIC,Ategrity Specialty Insurance Company Holdings,841 M,17.50,$0.31,$12.24,$0.17,14.965,4.2574,2.4576,
Capital Markets,ASST,"Strive Asset Management, LLC",512 M,8.12,($16.04),$23.38,($93.67),-109.54,-58.517,1.0169,
Consumer Finance,ATLC,Atlanticus Holdings Corporation,829 M,54.74,$31.36,$38.96,$5.63,19.589,2.3117,12.013,
Banks,AUB,Atlantic Union Bankshares Corporation,"5,660 M",39.92,$19.00,$35.31,$2.03,6.7175,.8805,7.5078,
Capital Markets,AURE,Aurelion Inc.,695 M,2.01,($0.05),$0.00,($0.44),-1639.9,-249.37,-.1084,
Banks,AVAL,Grupo Aval Acciones y Valores S.A.,"5,235 M",4.41,($0.14),$0.20,$0.02,9.2453,.9381,18.676,
Banks,AVBC,"Avidia Bancorp, Inc.",347 M,18.74,<empty>,$18.88,($0.18),-1.1483,-.1197,7.4858,
Banks,AVBH,"Avidbank Holdings, Inc.",323 M,29.525,$3.80,$25.66,($2.25),-8.3677,-.8023,9.1453,
Banks,AX,"Axos Financial, Inc.","5,503 M",97.10,$6.57,$51.70,$7.88,16.751,1.7592,9.6248,
Capital Markets,AXG,Solowin Holdings,714 M,3.78,($0.15),$1.97,($0.16),-3.6889,-3.4909,1.0385,
Consumer Finance,AXP,American Express Company,"235,268 M",342.65,$23.02,$48.80,$15.38,33.992,3.7909,8.9637,
Insurance,AXS,AXIS Capital Holdings Limited,"7,903 M",102.59,($4.32),$78.32,$12.35,16.213,2.6589,5.9351,
Banks,BAC,Bank of America Corporation,"380,602 M",52.77,$8.07,$38.44,$3.81,10.19,.9145,12.301,
Capital Markets,BAM,Brookfield Asset Management Ltd.,"80,735 M",50.07,$1.10,$5.57,$1.52,22.306,12.152,1.9133,
Banks,BANC,"Banc of California, Inc.","3,080 M",19.81,$1.14,$19.57,$1.17,6.5037,.67,11.436,
Banks,BANF,BancFirst Corporation,"3,861 M",115.13,$5.89,$53.49,$7.11,14.137,1.7271,7.964,
Banks,BANR,Banner Corporation,"2,182 M",63.98,$9.32,$57.08,$5.64,10.503,1.2003,8.4029,
Banks,BAP,Credicorp Ltd.,"27,731 M",349.40,$21.27,$143.64,$25.81,19.123,2.7061,6.9686,
Banks,BBAR,Banco BBVA Argentina S.A.,"3,378 M",16.54,($7.78),$3.45,$0.21,7.1934,1.1132,7.5905,
Banks,BBD,Banco Bradesco S.A.,"43,154 M",4.08,($5.56),$3.08,$0.41,13.754,1.0875,13.061,
Capital Markets,BBDC,"Barings BDC, Inc.",955 M,9.08,($0.85),$11.10,$0.96,8.5983,4.8074,2.4185,
Banks,BBDO,Banco Bradesco S.A.,"38,183 M",3.61,($5.56),$3.08,$0.41,13.754,1.0875,13.061,
Banks,BBT,Beacon Financial Corporation,"2,589 M",30.89,$1.06,$29.70,$1.03,4.8558,.5139,9.3028,
Banks,BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.","131,983 M",23.20,$2.69,$11.84,$2.07,18.268,1.3634,14.987,
Banks,BCAL,California BanCorp,611 M,18.86,$1.84,$17.79,$1.93,11.587,1.5637,6.9953,
Banks,BCH,Banco de Chile,"21,345 M",42.26,$0.01,$0.06,$0.01,20.876,2.2453,9.3285,
Banks,BCML,BayCom Corp,326 M,29.93,$2.62,$31.31,$2.18,7.2198,.9102,7.661,
Banks,BCS,Barclays PLC,"89,316 M",25.91,($0.77),$6.33,$0.57,9.5715,.471,19.852,
Capital Markets,BCSF,"Bain Capital Specialty Finance, Inc.",876 M,13.50,($0.27),$17.40,$1.44,8.1849,5.0293,2.4067,
Capital Markets,BEN,"Franklin Resources, Inc.","14,186 M",27.24,$1.69,$23.34,$1.08,4.4638,2.367,2.6823,
Financial Services,BETR,Better Home & Finance Holding Company,497 M,31.66,($14.91),$2.73,($12.18),-875.53,-16.613,33.025,
Banks,BFC,Bank First Corporation,"1,591 M",141.87,$5.27,$65.47,$7.23,11.141,1.5885,6.9988,
Consumer Finance,BFH,"Bread Financial Holdings, Inc.","3,234 M",75.01,$44.70,$75.44,$10.96,16.337,2.2873,6.8118,
Banks,BFST,"Business First Bancshares, Inc.",943 M,28.75,$2.92,$27.95,$2.79,10.359,1.0933,9.9578,
Capital Markets,BGC,"BGC Group, Inc.","4,589 M",9.71,$0.84,$2.06,$0.31,13.175,3.6633,4.533,
Banks,BHB,Bar Harbor Bankshares,579 M,34.69,$2.50,$31.88,$2.31,7.451,.8422,8.7954,
Insurance,BHF,"Brighthouse Financial, Inc.","3,641 M",63.68,$0.72,$111.33,$14.74,16.176,.7293,38.453,
Banks,BHRB,Burke & Herbert Financial Services Corp.,"1,013 M",67.41,$9.62,$56.18,$7.72,14.805,1.4913,9.382,
Capital Markets,BK,The Bank of New York Mellon Corporation,"81,322 M",118.16,$1.87,$57.36,$7.40,12.898,1.2569,11.964,
Capital Markets,BKKT,"Bakkt, Inc.",268 M,10.40,($13.99),$6.95,($5.06),-67.518,-6.1027,2.2577,
Banks,BKU,"BankUnited, Inc.","3,632 M",48.99,$5.67,$41.19,$3.53,9.146,.7636,11.474,
Banks,BLFY,Blue Foundry Bancorp,293 M,14.11,($0.14),$16.68,($0.46),-2.8159,-.4371,6.8569,
Capital Markets,BLK,"BlackRock, Inc.","167,707 M",1081.28,$25.38,$357.90,$35.31,10.686,3.4137,2.9302,
Capital Markets,BLSH,Bullish,"4,878 M",32.37,$0.01,$21.39,($5.99),-27.565,-3.2641,1.2257,
Financial Services,BLX,"Banco Latinoamericano de Comercio Exterior, S. A.","1,822 M",48.94,($9.49),$45.09,$6.11,15.045,1.8411,7.6166,
Banks,BMA,Banco Macro S.A.,"5,824 M",91.09,($3.12),$5.39,$0.26,5.4734,1.3215,4.3228,
Banks,BMO,Bank of Montreal,"101,770 M",143.56,$21.47,$87.00,$8.16,10.123,.6045,17.073,
Banks,BMRC,Bank of Marin Bancorp,432 M,26.85,$2.15,$24.74,($2.24),-8.5957,-.938,9.8942,
Capital Markets,BN,Brookfield Corporation,"103,655 M",46.18,($1.31),$19.51,$0.49,1.9512,2.5517,11.85,
Banks,BNS,The Bank of Nova Scotia,"94,206 M",76.20,($8.59),$50.10,$4.04,8.9862,.5402,16.808,
Insurance,BNT,Brookfield Wealth Solutions Ltd.,"11,518 M",46.47,$12.07,$57.13,$2.49,5.5689,.9633,8.9378,
Banks,BOH,Bank of Hawaii Corporation,"3,138 M",79.00,$4.85,$37.92,$4.63,11.702,.8619,16.051,
Banks,BOKF,BOK Financial Corporation,"8,093 M",133.51,$21.58,$97.63,$9.17,10.077,1.1341,8.8259,
Insurance,BOW,Bowhead Specialty Holdings Inc.,805 M,24.56,$10.09,$13.15,$1.55,13.206,2.443,4.8593,
Banks,BPOP,"Popular, Inc.","9,454 M",143.85,$8.71,$94.75,$12.30,14.047,1.1229,12.1,
Capital Markets,BRBI,BRBI BR Partners S.A.,"1,165 M",14.7991,($0.74),$1.36,$0.30,22.051,1.076,22.319,
Banks,BRBS,"Blue Ridge Bankshares, Inc.",386 M,4.22,($0.07),$3.68,$0.11,3.2875,.4142,7.5152,
Financial Services,BRLGF,Dominion Lending Centres Inc.,511 M,6.62,$0.30,$1.27,($1.16),-134.86,10.935,1.6285,
Insurance,BRO,"Brown & Brown, Inc.","23,632 M",69.42,$4.46,$37.34,$3.16,11.226,4.2408,2.3903,
Mortgage Real Estate Investment Trusts (REITs),BRSP,"BrightSpire Capital, Inc.",746 M,5.75,$0.65,$7.53,($0.30),-4.2748,2.7919,3.3843,
Banks,BSAC,Banco Santander-Chile,"16,753 M",35.56,$0.01,$0.03,$0.01,23.161,1.5665,14.428,
Banks,BSBR,Banco Santander (Brasil) S.A.,"51,673 M",6.79,($1.01),$6.23,$0.60,9.927,.9703,10.201,
Banks,BSRR,Sierra Bancorp,492 M,37.08,$2.95,$27.87,$3.11,11.722,1.1372,10.495,
Banks,BSVN,Bank7 Corp.,414 M,43.71,$4.80,$26.52,$4.50,18.556,2.3258,7.8234,
Capital Markets,BULL,Webull Corporation,"2,991 M",5.96,$1.85,$1.99,($1.74),3.664,1.099,3.4925,
Financial Services,BUR,Burford Capital Limited,"2,134 M",9.75,$0.14,$11.41,$0.40,4.1858,2.8032,2.6774,
Banks,BUSE,First Busey Corporation,"2,297 M",26.21,$2.07,$28.18,$1.47,7.0224,.8972,7.3329,
Banks,BWB,"Bridgewater Bancshares, Inc.",535 M,19.28,$1.62,$16.23,$1.49,9.4536,.8801,12,
Banks,BWFG,"Bankwell Financial Group, Inc.",381 M,48.18,$4.41,$39.08,$4.45,12.307,1.062,11.144,
Insurance,BWIN,"The Baldwin Insurance Group, Inc.","1,964 M",16.53,($0.49),$8.68,($0.42),-4.1869,1.2497,6.1221,
Capital Markets,BX,Blackstone Inc.,"98,493 M",125.76,$4.70,$11.06,$3.87,29.228,13.263,5.5056,
Mortgage Real Estate Investment Trusts (REITs),BXMT,"Blackstone Mortgage Trust, Inc.","3,244 M",19.28,$1.61,$20.53,$0.64,3.0052,.551,5.7169,
Capital Markets,BXSL,Blackstone Secured Lending Fund,"5,528 M",23.91,($5.02),$27.15,$2.66,10.021,5.2824,2.2739,
Banks,BY,"Byline Bancorp, Inc.","1,496 M",32.85,$2.90,$27.84,$2.89,11.024,1.3582,7.6131,
Banks,C,Citigroup Inc.,"201,924 M",115.55,($40.83),$110.01,$6.99,6.8314,.577,13.822,
Banks,CAC,Camden National Corporation,823 M,48.62,$4.93,$41.16,$3.84,10.614,1.0197,10.013,
Consumer Finance,CACC,Credit Acceptance Corporation,"5,220 M",485.65,$91.95,$142.66,$36.38,25.901,4.8483,5.6653,
Banks,CARE,"Carter Bankshares, Inc.",481 M,21.78,$1.37,$19.01,$1.38,7.8013,.6594,11.561,
Banks,CASH,"Pathward Financial, Inc.","2,057 M",94.52,$18.41,$38.55,$8.26,23.567,2.5303,8.8472,
Financial Services,CASS,"Cass Information Systems, Inc.",574 M,44.57,$3.40,$18.88,$2.31,13.182,1.405,10.724,
Banks,CATY,Cathay General Bancorp,"3,576 M",53.22,$5.64,$43.53,$4.54,10.921,1.3328,8.2825,
Insurance,CB,Chubb Limited,"128,735 M",329.16,$33.29,$188.59,$24.79,14.337,3.2312,3.6922,
Banks,CBAN,"Colony Bankcorp, Inc.",428 M,20.12,$2.49,$17.69,$1.59,8.6322,.8254,9.9367,
Banks,CBC,"Central Bancompany, Inc.","6,054 M",25.11,$1.17,$16.50,$1.75,11.338,1.9545,5.4842,
Banks,CBK,"Commercial Bancgroup, Inc.",363 M,26.52,<empty>,$20.81,$2.92,14.62,1.6088,8.0365,
Banks,CBNK,"Capital Bancorp, Inc.",508 M,31.03,$4.41,$24.54,$3.41,15.102,1.6782,8.9712,
Capital Markets,CBOE,"Cboe Global Markets, Inc.","29,946 M",286.17,$5.89,$49.08,$10.42,23.36,11.072,1.811,
Banks,CBSH,"Commerce Bancshares, Inc.","7,910 M",53.68,$1.36,$27.58,$4.04,15.97,1.7583,8.6816,
Banks,CBU,"Community Financial System, Inc.","3,409 M",64.71,$4.37,$38.08,$3.97,11.168,1.2493,8.6256,
Capital Markets,CCAP,"Crescent Capital BDC, Inc.",501 M,13.54,$1.33,$19.28,$0.97,4.9231,5.0027,2.2794,
Banks,CCB,Coastal Financial Corporation,"1,271 M",83.97,$17.35,$31.45,$3.17,11.823,1.1072,9.5798,
Banks,CCBG,"Capital City Bank Group, Inc.",726 M,42.53,$4.65,$32.36,$3.60,11.746,1.4133,7.933,
Banks,CCNE,CNB Financial Corporation,869 M,29.49,$2.10,$27.87,$2.49,8.9196,.9066,10.311,
Capital Markets,CCORF,Canaccord Genuity Group Inc.,946 M,9.476,$3.65,$3.55,($1.60),-12.5,-2.5542,13.533,
Banks,CFFN,"Capitol Federal Financial, Inc.",963 M,7.57,$0.47,$8.18,$0.56,7.0492,.7547,9.3904,
Banks,CFG,"Citizens Financial Group, Inc.","27,450 M",64.59,$4.40,$56.39,$3.86,7.2413,.825,9.351,
Banks,CFR,"Cullen/Frost Bankers, Inc.","9,155 M",144.86,$1.88,$69.96,$9.92,15.311,1.2287,11.98,
Capital Markets,CG,The Carlyle Group Inc.,"18,935 M",52.98,($7.01),$19.75,$2.18,14.095,3.6181,4.1258,
Capital Markets,CGBD,"Carlyle Secured Lending, Inc.",849 M,11.64,($2.61),$16.36,$1.14,7.0449,5.2362,2.1448,
Banks,CHCO,City Holding Company,"1,790 M",124.68,$8.78,$56.41,$8.93,16.942,1.9798,8.3021,
Banks,CHMG,Chemung Financial Corporation,284 M,59.09,$6.76,$52.97,$3.14,6.4269,.5505,10.641,
Financial Services,CHYM,"Chime Financial, Inc.","7,724 M",20.62,$0.13,$3.85,($6.22),-2.6733,7.078,1.3596,
Insurance,CIA,"Citizens, Inc.",291 M,5.78,$0.39,$4.49,$0.21,5.0205,.4787,7.7231,
Banks,CIB,Grupo Cibest S.A.,"18,850 M",78.99,($3.63),$11.31,$1.96,17.425,2.0463,8.8403,
Mortgage Real Estate Investment Trusts (REITs),CIM,Chimera Investment Corporation,"1,130 M",13.59,($1.77),$31.71,($0.37),2.0968,.3862,5.8795,
Insurance,CINF,Cincinnati Financial Corporation,"25,240 M",162.40,$17.86,$102.39,$15.17,16.036,4.8917,2.577,
Capital Markets,CION,CION Investment Corporation,443 M,8.58,$0.96,$14.86,$0.49,3.2198,6.1517,2.4387,
Banks,CIVB,"Civista Bancshares, Inc.",499 M,24.07,$3.14,$26.20,$2.64,9.9169,1.0957,7.9791,
Banks,CLBK,"Columbia Financial, Inc.","1,889 M",18.17,$0.63,$11.16,$0.51,4.6196,.4816,9.493,
Banks,CM,Canadian Imperial Bank of Commerce,"90,910 M",98.11,($18.92),$48.04,$6.11,13.7,.7831,17.891,
Capital Markets,CME,CME Group Inc.,"109,259 M",303.91,$11.36,$79.88,$11.16,14.75,1.574,6.907,
Mortgage Real Estate Investment Trusts (REITs),CMTG,"Claros Mortgage Trust, Inc.",365 M,2.60,($0.10),$12.47,($2.65),-19.236,-5.8128,3.1116,
Insurance,CNA,CNA Financial Corporation,"13,304 M",49.15,$8.86,$42.93,$4.69,11.548,1.6138,5.9757,
Capital Markets,CNCK,Coincheck Group N.V.,332 M,2.44,($0.18),$0.54,($0.83),.2153,-.0038,8.9971,
Financial Services,CNNE,"Cannae Holdings, Inc.",695 M,13.44,($0.91),$23.46,($6.54),-26.17,-3.4896,1.2516,
Insurance,CNO,"CNO Financial Group, Inc.","4,023 M",42.58,$6.73,$27.92,$2.30,8.928,1.0188,14.703,
Banks,CNOB,"ConnectOne Bancorp, Inc.","1,382 M",27.50,$1.87,$29.15,$1.63,5.7152,.6736,9.5751,
Capital Markets,CNS,"Cohen & Steers, Inc.","3,409 M",66.84,($1.84),$10.79,$2.97,27.275,15.264,1.4567,
Financial Services,CODI,Compass Diversified,542 M,7.21,($2.15),$0.55,($3.25),-31.614,-.0722,78.459,
Consumer Finance,COF,Capital One Financial Corporation,"128,183 M",205.06,$43.09,$173.11,$3.36,2.3944,.3602,6.1826,
Banks,COFS,"ChoiceOne Financial Services, Inc.",439 M,29.29,$3.02,$31.02,$2.01,7.7644,.7899,9.4779,
Capital Markets,COIN,"Coinbase Global, Inc.","43,821 M",165.94,$9.33,$55.23,$4.45,10.055,3.5496,2.0058,
Banks,COLB,"Columbia Banking System, Inc.","9,214 M",31.19,$3.12,$26.54,$2.30,8.4888,.9289,8.5245,
Banks,COSO,"CoastalSouth Bancshares, Inc.",301 M,25.13,$1.28,$21.66,$2.16,10.947,1.13,8.8876,
Financial Services,CPAY,"Corpay, Inc.","24,289 M",347.20,$18.52,$55.98,$15.03,29.071,5.498,6.8023,
Banks,CPF,Central Pacific Financial Corp.,899 M,34.07,$3.63,$22.47,$2.86,13.702,1.0413,12.503,
Financial Services,CRBG,"Corebridge Financial, Inc.","14,484 M",30.07,$3.75,$25.60,($0.68),-2.9673,.0982,32.542,
Capital Markets,CSWC,Capital Southwest Corporation,"1,377 M",22.88,($3.60),$16.75,$1.82,11.289,6.2219,2.1252,
Banks,CTBI,"Community Trust Bancorp, Inc.","1,132 M",62.47,$5.76,$47.26,$5.43,12.154,1.5229,7.8079,
Financial Services,CTLP,"Cantaloupe, Inc.",750 M,10.18,$0.35,$3.42,$0.73,24.551,4.9491,1.5129,
Banks,CUBI,"Customers Bancorp, Inc.","2,459 M",71.92,$11.40,$61.87,$6.26,11.34,.9494,11.768,
Banks,CVBF,CVB Financial Corp.,"2,788 M",20.53,$1.80,$16.93,$1.52,9.3404,1.3597,6.8103,
Banks,CWBC,Community West Bancshares,465 M,24.26,$1.99,$21.37,$2.00,9.8845,1.0584,9.0098,
Banks,CZFS,"Citizens Financial Services, Inc.",301 M,62.58,$5.96,$70.32,$7.62,11.468,1.2009,9.0654,
Banks,CZNC,Citizens & Northern Corporation,420 M,23.57,$2.06,$19.17,$1.46,7.5938,.8158,9.1669,
Consumer Finance,DAVE,Dave Inc.,"2,407 M",178.24,$17.56,$21.57,$10.12,65.632,25.359,1.4872,
Capital Markets,DB,Deutsche Bank Aktiengesellschaft,"68,399 M",35.80,$1.81,$48.54,$3.63,8.9441,.5059,18.248,
Capital Markets,DBRG,"DigitalBridge Group, Inc.","2,817 M",15.41,$0.88,$6.89,$0.11,-1.8204,-.6773,2.776,
Banks,DCOM,"Dime Community Bancshares, Inc.","1,492 M",34.01,$5.10,$30.99,$2.36,7.7068,.7454,11.287,
Capital Markets,DEFT,DeFi Technologies Inc.,264 M,.6851,($0.58),$0.29,$0.02,7.7231,1.3003,10.622,
Capital Markets,DFIN,"Donnelley Financial Solutions, Inc.","1,288 M",48.53,$3.92,$14.81,$1.15,7.9479,11.533,2.1108,
Insurance,DGICA,Donegal Group Inc.,643 M,17.56,$2.47,$17.14,$2.38,15.104,2.8205,3.8596,
Insurance,DGICB,Donegal Group Inc.,588 M,16.05,$2.47,$17.14,$2.38,15.104,2.8205,3.8596,
Capital Markets,DHIL,"Diamond Hill Investment Group, Inc.",463 M,171.10,($12.88),$66.45,$17.21,27.335,11.013,1.4163,
Financial Services,DLO,DLocal Limited,"3,823 M",12.97,$0.49,$1.71,$0.56,35.556,9.6644,2.7922,
Mortgage Real Estate Investment Trusts (REITs),DX,"Dynex Capital, Inc.","2,796 M",14.01,$1.16,$13.47,$2.47,17.497,2.4998,7.3662,
Banks,EBC,"Eastern Bankshares, Inc.","4,638 M",21.11,$1.99,$20.17,$0.43,2.2181,.3141,7.0467,
Consumer Finance,ECPG,"Encore Capital Group, Inc.","1,295 M",58.08,$5.58,$41.70,($1.91),-4.5107,5.3431,5.5178,
Financial Services,EEFT,"Euronet Worldwide, Inc.","2,986 M",71.02,$7.85,$26.92,$6.76,24.533,5.374,4.9064,
Mortgage Real Estate Investment Trusts (REITs),EFC,Ellington Financial Inc.,"1,552 M",12.45,($8.09),$13.52,$1.33,9.2833,.9397,12.446,
Banks,EFSC,Enterprise Financial Services Corp,"2,240 M",60.59,$5.08,$53.22,$5.31,10.425,1.2242,8.7938,
Banks,EGBN,"Eagle Bancorp, Inc.",803 M,26.45,$1.30,$37.00,($3.97),-10.245,-1.0888,9.6268,
Insurance,EIG,"Employers Holdings, Inc.",954 M,42.45,$2.22,$45.76,$2.58,5.8613,1.3578,3.3934,
Consumer Finance,ENVA,"Enova International, Inc.","3,585 M",145.03,$70.40,$54.08,$11.52,24.343,5.256,4.839,
Banks,EQBK,"Equity Bancshares, Inc.",967 M,45.68,$4.02,$38.64,$1.23,3.4304,.3883,8.7059,
Financial Services,EQH,"Equitable Holdings, Inc.","12,564 M",44.35,$3.67,($4.03),($4.83),-38.723,-.1972,-278.73,
Insurance,ERIE,Erie Indemnity Company,"14,360 M",274.63,$11.03,$44.16,$12.39,30.444,15.171,1.4398,
Financial Services,ESNT,Essent Group Ltd.,"5,748 M",60.22,$8.26,$60.31,$6.90,12.147,7.3402,1.2926,
Banks,ESQ,"Esquire Financial Holdings, Inc.",913 M,106.75,$6.14,$35.73,$5.87,19.299,2.387,8.1688,
Capital Markets,ETOR,eToro Group Ltd.,"2,595 M",31.00,$3.75,$16.08,$2.27,19.371,14.463,1.2845,
Capital Markets,EVR,Evercore Inc.,"12,643 M",326.87,$27.38,$46.93,$14.05,31.817,14.344,2.444,
Financial Services,EVTC,"EVERTEC, Inc.","1,734 M",27.10,$2.28,$10.37,$2.26,23.636,5.9137,3.2379,
Banks,EWBC,"East West Bancorp, Inc.","16,490 M",119.86,$9.33,$64.68,$9.52,15.945,1.6944,9.0384,
Consumer Finance,EZPW,"EZCORP, Inc.","1,559 M",25.27,$2.06,$17.35,$1.57,12.974,6.0562,1.8563,
Insurance,FAF,First American Financial Corporation,"6,780 M",66.54,$6.80,$52.02,$6.00,12.196,2.9095,3.322,
Banks,FBIZ,"First Business Financial Services, Inc.",475 M,57.02,$8.10,$44.63,$5.94,14.373,1.2682,10.985,
Banks,FBK,FB Financial Corporation,"3,026 M",58.48,$2.25,$37.64,$2.45,6.9762,.8326,8.367,
Banks,FBNC,First Bancorp,"2,537 M",61.19,$5.17,$39.89,$2.68,7.1648,.8949,7.6584,
Banks,FBP,First BanCorp.,"3,533 M",22.56,$2.66,$12.64,$2.15,18.969,1.7949,9.7276,
Mortgage Real Estate Investment Trusts (REITs),FBRT,"Franklin BSP Realty Trust, Inc.",724 M,8.88,($0.92),$14.50,$0.64,5.2048,1.3944,5.1212,
